final_ID,From_Grade,To_Grade,Group_State,Days,Travel_Type,Departure_Month,Return_Month,Early_C,Days_LCtoDD,Cancelled_Pax,Total_Discount_Pax,Days_InitialOrgtoDD,SPR_Product_Type,FPP,Total_Pax,GroupGradeType,FPP_to_School_enrollment,Days_DeptoDD,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Group_Revenue,FPP_to_PAX,Num_of_Non_FPP_PAX,Poverty_Code,School_Type,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,SPR_New_Existing,NumberOfMeetingswithParents,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeType,SchoolSizeIndicator,Retained
1334,8,9,MN,7,A,3,3,1,427,2,1,432,East Coast,22,24,PK->Middle,0.109461996478216,125,1372,11,1,0.5993381783698,0.14086929911237,0,1493,0.986330987180473,1,0,Catholic,PK,8,203,N,1,1,403,399,Middle->Middle,S,0
1336,10,10,CA,12,A,3,4,1,206,3,2,299,East Coast,15,19,Elementary->Middle,0.177070889777254,147,2060,12,1,0.612890575895937,0.18550076247386,0,2253,0.880463737364494,2,0,Private non-Christian,5,8,109,O,0,1,199,203,Middle->Middle,S,1
1337,9,13,CO,11,A,3,4,1,195,6,2,366,East Coast,22,23,Middle->Middle,0.103790731937456,138,1773,15,6,0.749222768829124,0.29987494501014,0,1831,0.88619266415021,2,C,PUBLIC,6,8,198,K,1,2,358,157,Middle->High,S,0
1338,9,9,ID,18,A,5,6,1,250,1,1,391,East Coast,2,3,K->Middle,0.006923010239433,210,1994,2,1,0.995748869242488,0.0,0,1915,0.689268070061397,1,0,Catholic,K,8,310,I,0,1,240,241,Middle->Middle,S,0
1340,8,8,CA,21,A,3,4,1,220,1,12,328,East Coast,75,96,Middle->Middle,0.064998848621711,178,1882,44,2,0.616210095153628,0.35810553341737,0,1899,0.921635077791564,10,B,PUBLIC,6,8,1177,Q,0,1,191,189,Middle->Middle,L,1
1341,4,6,IA,15,A,4,5,1,253,4,5,464,East Coast,54,64,High->High,0.47544916672886,195,1230,34,1,0.564705068951862,0.169973218509026,1,1158,0.942699015148927,4,B,PUBLIC,9,12,112,J,0,1,227,230,Middle->Middle,S,0
1342,9,9,CA,16,A,4,5,1,253,9,2,259,East Coast,28,30,PK->Middle,0.048777915711673,190,2096,22,4,0.794946836351705,0.201779592728496,0,1933,0.942184757093853,2,0,Catholic,PK,8,556,M,0,0,0,0,Middle->Middle,M-L,0
1343,4,6,CA,20,A,6,7,1,288,5,1,492,East Coast,6,8,K->Middle,0.0327591953887,240,2004,4,3,0.583012086737382,0.133991384030093,0,2062,0.867427815758638,1,0,Catholic,K,8,201,E,1,2,491,282,Middle->Middle,S,0
1344,6,6,MO,11,A,6,6,1,280,10,3,406,East Coast,26,32,Middle->Middle,0.055434697845263,231,1627,19,9,0.741737413679518,0.0,0,1580,0.931151350848424,3,C,PUBLIC,6,8,424,C,0,1,271,281,Middle->Middle,S-M,1
1345,7,10,AR,8,A,6,6,1,291,30,3,438,East Coast,24,22,Middle->High,0.060978274537821,247,2138,10,11,0.548481007922828,0.420047444825782,0,1923,0.833400766886564,3,D,PUBLIC,7,12,377,B,1,1,267,273,Middle->High,S-M,0
1346,8,8,MI,11,T,3,4,1,331,11,5,344,East Coast,57,77,Middle->Middle,0.168897413783404,183,470,27,6,0.430661929138987,0.198216050080025,1,445,0.948171624543165,5,B,PUBLIC,7,8,426,L,0,1,159,153,Middle->Middle,S-M,1
1347,7,8,FL,10,A,6,6,1,287,10,1,467,East Coast,13,13,Middle->Middle,0.013071782205522,248,1471,10,8,0.783152489060906,0.0,0,1361,0.897620925326104,1,C,PUBLIC,6,8,951,L,1,2,256,266,Middle->Middle,L,0
1348,8,10,MI,14,T,6,7,1,282,2,4,605,East Coast,52,63,Middle->Middle,0.494233004850109,259,677,18,2,0.339677380387925,0.418001121751957,0,769,0.915130795965864,4,B,PUBLIC,7,8,104,H,0,1,285,286,Middle->High,S,0
1349,6,7,FL,22,T,3,4,1,304,6,5,293,East Coast,25,28,Middle->Middle,0.020298047632227,176,910,15,5,0.616074907058215,0.105502614126661,0,842,0.820486901989121,4,B,PUBLIC,6,8,1086,M,0,1,205,203,Middle->High,L,1
1350,8,9,NE,11,A,5,6,1,278,1,1,437,East Coast,12,11,K->Middle,0.020902952037606,230,1560,4,1,0.349818024031477,0.090474306725558,0,1553,0.887830463280526,1,0,Catholic,K,8,506,M,0,0,0,0,Middle->Middle,S-M,1
1351,9,9,MI,12,T,4,5,1,260,5,6,414,East Coast,81,79,Elementary->Middle,0.204076151209693,157,862,30,2,0.415369305971624,0.12362680466562,0,817,0.865259898439958,8,B,PUBLIC,5,8,340,J,1,1,235,240,Middle->Middle,S,1
1352,7,7,MN,17,A,6,7,1,311,3,1,449,Science,15,16,Middle->Middle,0.010261267598743,219,2566,11,2,0.747694303740733,0.60879410799078,0,2384,0.937851089017865,1,A,PUBLIC,7,8,1399,N,1,1,252,242,Middle->Middle,L,1
1353,6,6,FL,11,A,1,1,1,148,7,3,331,East Coast,25,25,Middle->Middle,0.025755583089707,96,1166,17,6,0.69136095655412,0.036404013604312,0,1099,0.861252675011481,3,C,PUBLIC,6,8,953,O,1,1,130,116,Middle->Middle,L,1
1356,9,9,MO,11,A,6,6,1,281,16,2,445,East Coast,39,32,Middle->Middle,0.041084753941644,214,1927,17,13,0.594254555407205,0.02876796770014,0,1779,0.960989837509124,2,C,PUBLIC,7,8,692,C,0,1,272,257,Middle->Middle,M-L,1
1357,8,8,CA,11,A,5,5,0,277,0,4,354,East Coast,46,49,Middle->High,0.071998781496002,215,2345,28,0,0.629140136601881,0.119435315246419,1,2232,0.867440049758908,5,0,Private non-Christian,7,12,681,J,1,1,236,234,Middle->Middle,M-L,1
1359,8,8,GA,15,T,5,6,0,165,0,4,148,East Coast,44,57,Middle->Middle,0.033079023096587,119,467,21,0,0.473250795137101,0.041143247989457,0,476,0.906096813366914,3,B,PUBLIC,6,8,1559,M,1,2,129,109,Middle->Middle,L,1
1361,7,7,WI,10,A,6,6,1,304,7,4,459,East Coast,55,56,Middle->Middle,0.093979275951432,199,1380,37,7,0.736674335070033,0.264127474457148,0,1206,0.899651998708084,4,B,PUBLIC,7,8,536,M,0,1,261,261,Middle->Middle,S-M,1
1362,5,11,AK,28,A,6,7,1,395,0,1,385,Costa Rica,9,12,K->High,0.01730017087359,241,2459,6,0,0.572789458577892,0.08604817049733,0,2458,0.909834954708774,1,B,PUBLIC,K,12,509,I,1,0,0,0,Middle->High,S-M,0
1363,10,10,WA,18,A,6,7,1,292,6,4,422,East Coast,45,50,Middle->Middle,0.040773766964431,230,2128,15,4,0.321816872599458,0.324028694284807,0,2299,0.951429381986095,4,B,PUBLIC,6,8,1211,N,1,0,0,0,Middle->Middle,L,1
1364,7,10,OR,9,A,6,6,0,275,4,1,278,East Coast,6,7,K->High,0.022397295347235,211,2314,5,3,0.806655717561726,0.460220480540289,0,2324,0.879999566585336,1,B,PUBLIC,K,12,299,I,0,1,240,229,High->High,S,0
1365,8,9,CO,11,A,6,6,1,304,2,7,495,East Coast,54,74,Elementary->Middle,0.235955884814395,233,1898,43,1,0.625944642439844,0.221173279834105,0,2033,0.851863956839949,8,C,PUBLIC,5,8,235,F,0,1,281,281,Middle->Middle,S,0
1366,7,7,CO,21,A,6,6,1,285,4,7,505,East Coast,57,59,Middle->Middle,0.03919059496909,225,1534,42,5,0.756234322070265,0.383346277395884,0,1503,0.868204652815435,6,A,PUBLIC,6,8,1385,Q,1,1,276,273,Middle->Middle,L,1
1367,8,8,NV,25,A,4,5,1,235,14,7,408,East Coast,68,75,Middle->Middle,0.06427889931384,176,2829,44,13,0.576557047726201,0.314515558181419,0,2532,0.885416811579641,6,B,PUBLIC,6,8,1181,Z,0,2,367,218,Middle->Middle,L,1
1368,9,9,CA,19,A,6,7,1,317,5,1,417,East Coast,10,12,Middle->Middle,0.014941392732185,243,2051,7,4,0.548781342582432,0.246645019613951,0,2130,0.894324763145491,1,B,PUBLIC,7,8,676,O,1,1,267,264,Middle->Middle,M-L,0
1370,8,9,NY,15,T,6,6,1,264,5,2,456,East Coast,31,31,K->High,0.028144658575236,208,436,19,5,0.701514618025878,0.343456701784329,0,453,0.9433538342169,2,C,PUBLIC,K,12,881,Z,0,2,425,216,Middle->Middle,L,0
1371,9,9,TX,8,A,5,6,1,302,3,2,413,East Coast,26,25,Elementary->Middle,0.060971613677415,238,1782,19,3,0.875815431421177,0.461332037940575,0,1580,0.866126780082479,3,B,PUBLIC,5,8,368,L,1,1,262,264,Middle->Middle,S-M,1
1373,6,7,TX,13,A,5,6,1,264,8,2,391,East Coast,15,16,Middle->Middle,0.031878169216903,221,1652,13,4,0.737180621159207,0.153208527497432,0,1819,0.862292460272356,2,C,PUBLIC,6,8,503,F,1,1,268,263,Middle->Middle,S-M,1
1374,7,10,AL,9,A,3,3,0,154,5,1,178,East Coast,13,13,High->High,0.007112650273509,47,1742,2,3,0.166893329098334,0.0,0,1512,0.96228059073471,1,C,PUBLIC,9,12,1680,G,0,1,139,141,High->High,L,0
1376,6,7,CA,2,A,6,6,1,266,3,1,459,CA History,8,9,K->Elementary,0.009657365700815,195,442,4,0,0.571992654443511,0.0,1,423,0.8917488874429,1,C,PUBLIC,K,5,815,C,1,2,398,325,Elementary->Elementary,M-L,0
1377,12,12,NM,21,A,5,6,0,72,0,1,93,East Coast,9,10,High->High,0.031671364744684,78,2667,0,0,0.0,0.0,0,2314,0.92043008220698,1,C,PUBLIC,9,12,351,F,1,1,84,85,High->High,S,0
1378,8,8,MI,8,A,6,6,1,302,1,1,442,East Coast,13,16,Middle->Middle,0.021705651303747,223,1299,8,0,0.558036410068638,0.632537293343352,0,1187,0.962691213387392,1,B,PUBLIC,6,8,609,L,1,2,397,225,Middle->Middle,M-L,0
1381,8,8,NM,17,A,3,4,1,228,7,2,407,East Coast,29,33,PK->High,0.019186832335652,150,1897,23,6,0.705179634696292,0.422607017188076,0,1983,0.884248613548219,3,0,CHD,PK,12,1493,I,0,2,411,168,Middle->Middle,L,1
1382,6,8,CA,15,A,4,4,1,254,4,1,381,East Coast,11,12,Middle->Middle,0.01212520185591,169,1979,5,1,0.431001490113446,0.227665426004235,0,1795,0.880042663322712,1,B,PUBLIC,6,8,955,M,0,1,182,190,Middle->Middle,L,1
1383,2,2,CA,6,A,2,3,0,149,1,1,410,CA History,49,50,PK->Middle,0.202503090375462,138,746,0,0,0.0,0.0,1,838,0.956103847940599,1,0,Private non-Christian,PK,6,252,O,0,0,0,0,Elementary->Elementary,S,0
1384,8,8,TX,10,A,6,6,1,446,5,2,455,East Coast,13,16,Middle->Middle,0.103627186431849,217,1890,15,8,0.890863155299864,0.52295416135432,0,2248,0.849534834323759,2,C,PUBLIC,6,8,158,E,1,1,380,381,Middle->Middle,S,0
1385,6,6,CO,13,A,5,6,1,270,6,5,491,East Coast,40,38,Middle->Middle,0.063505007083026,237,1847,26,5,0.680038056135238,0.254292782525722,0,2121,0.880177869216055,5,B,PUBLIC,6,8,592,M,0,1,279,261,Middle->Middle,M-L,1
1386,5,5,LA,20,A,3,4,0,168,0,2,198,East Coast,10,13,PK->Elementary,0.075771835140025,84,2113,0,0,0.0,0.0,0,1931,0.85170700527574,2,0,Private non-Christian,PK,5,164,E,0,1,166,177,Elementary->Elementary,S,1
1387,10,10,CA,24,A,4,5,1,362,2,1,371,East Coast,26,29,K->High,0.126429354314411,320,2383,9,1,0.34574559493049,0.103221687115555,0,2167,0.99141462545603,1,0,CHD,K,12,196,O,1,2,332,215,Middle->Middle,S,1
1388,6,6,NY,9,T,4,4,1,214,8,11,343,East Coast,114,125,Middle->High,0.136335375353344,166,586,54,2,0.531309961954703,0.077452761260599,0,566,0.900985686892567,10,A,PUBLIC,6,12,799,Q,0,2,174,171,Middle->Middle,M-L,1
1389,6,7,CA,1,A,5,5,1,282,6,2,401,CA History,42,56,PK->Elementary,0.054841225784392,203,397,1,1,0.020913435758935,0.017855577091883,1,447,0.967035782753087,2,C,PUBLIC,PK,5,874,F,1,2,407,272,Elementary->Elementary,L,0
1390,7,7,IN,18,T,5,6,0,292,1,2,382,East Coast,31,37,Middle->Middle,0.064313130824038,230,806,22,1,0.61469525209401,0.20809584943175,0,807,0.975116125802318,2,C,PUBLIC,6,8,479,G,1,1,248,245,Middle->Middle,S-M,1
1393,8,8,MI,14,A,5,6,1,221,2,1,385,East Coast,9,12,K->Middle,0.074410821840375,361,1224,6,2,0.55780733847763,0.292476708962454,0,1298,0.892673974340483,1,0,Catholic,K,8,151,J,1,1,257,254,Middle->Middle,S,1
1394,11,13,UT,19,A,6,6,0,206,1,1,203,East Coast,9,8,High->High,0.003141817935019,196,1719,5,0,0.651040022386173,0.0,0,1934,0.889676143038598,1,B,PUBLIC,10,12,2498,O,0,2,215,204,High->High,L,0
1395,6,6,TX,13,A,5,6,1,284,7,2,405,East Coast,27,36,Middle->Middle,0.125898601260907,231,1884,15,5,0.482312427261847,0.499034305806458,0,1822,0.887179392890451,3,C,PUBLIC,7,8,272,C,1,1,270,275,Middle->Middle,S,1
1396,6,6,NE,15,A,6,6,1,321,0,2,479,East Coast,17,18,K->High,0.031679031303065,227,1790,2,0,0.114601549113861,0.056428870638154,0,1576,0.862207759227467,2,B,PUBLIC,K,12,518,K,1,1,304,304,Middle->Middle,S-M,1
1397,7,7,CA,25,A,5,6,1,351,6,5,438,East Coast,75,77,K->Middle,0.129658419247483,222,1921,38,3,0.583013227671993,0.221299362413827,1,1922,0.893216159344734,5,0,CHD,K,8,534,O,1,1,242,246,Middle->Middle,S-M,1
1400,6,6,NJ,13,T,5,5,0,229,8,22,246,East Coast,229,265,Middle->Middle,0.364549662180418,179,558,0,0,0.0,0.0,0,504,0.914417328482736,20,A,PUBLIC,6,8,621,Q,1,0,0,0,Middle->Middle,M-L,0
1401,3,6,CA,8,A,6,6,1,282,8,3,656,CA History,18,19,K->Middle,0.028861621287824,226,615,8,2,0.48974943245158,0.488205839480861,1,642,0.827849277562253,3,B,PUBLIC,K,6,531,P,0,0,0,0,Elementary->Middle,S-M,1
1404,6,8,CA,15,A,6,6,1,285,24,2,383,East Coast,37,33,Middle->Middle,0.032826903245671,245,2122,13,15,0.402047844694988,0.085746190041887,0,1897,0.914499991262443,2,D,PUBLIC,7,8,889,J,1,2,371,277,Middle->High,L,0
1407,9,9,IN,20,A,6,7,1,316,4,2,501,Science,18,23,Middle->Middle,0.014508369114964,238,1634,13,4,0.594151304354386,0.423209406431948,0,1911,0.905601270796465,2,B,PUBLIC,7,8,1324,M,1,2,403,276,Middle->Middle,L,0
1410,3,3,CA,14,A,4,4,1,222,0,2,363,East Coast,24,27,K->Middle,0.072518009227168,166,2145,16,0,0.694234510809174,0.036829639751026,0,2389,0.921634966485889,2,A,PUBLIC,K,8,360,Z,0,1,319,325,Elementary->Elementary,S-M,1
1411,10,10,TX,8,A,3,3,1,335,0,6,336,East Coast,53,74,Middle->High,0.155824627788357,136,1434,0,0,0.0,0.0,1,1240,0.916486809048906,6,0,Private non-Christian,6,12,376,M,1,0,0,0,Middle->Middle,S-M,0
1412,9,10,MI,7,A,6,6,1,284,4,4,500,East Coast,64,60,Middle->Middle,0.079345291259936,233,995,42,6,0.68707965998238,0.359716115704379,0,1152,0.979962282642423,4,B,PUBLIC,6,8,671,L,0,1,262,270,Middle->Middle,M-L,1
1415,4,5,TX,14,A,6,6,0,250,1,1,260,East Coast,5,6,PK->Middle,0.007805314176555,214,1533,5,0,0.973814760627659,0.469662481473412,0,1326,0.808871913616648,1,B,PUBLIC,PK,6,652,N,0,1,232,222,Elementary->Middle,M-L,0
1416,10,10,NM,24,A,5,6,1,296,8,1,424,East Coast,12,14,Middle->Middle,0.010393904261702,212,2011,11,3,0.877792723449132,0.278153794422815,0,2039,0.957798144615434,1,C,PUBLIC,6,8,1210,F,0,2,379,268,Middle->Middle,L,1
1417,5,7,TX,9,A,5,6,1,265,6,2,474,East Coast,27,30,Middle->Middle,0.053536524041748,191,1429,23,3,0.846753689335944,0.115074616110662,0,1349,0.944173263211121,2,B,PUBLIC,6,8,525,M,1,1,236,229,Middle->Middle,S-M,1
1418,8,9,IL,10,T,6,6,1,271,2,7,481,East Coast,40,52,Middle->Middle,0.215020470603843,223,899,12,2,0.310085758558984,0.255365313141532,0,942,0.858324968573688,6,B,PUBLIC,6,8,193,H,1,1,265,262,Middle->Middle,S,1
1419,7,7,IL,8,A,6,6,1,277,8,3,389,East Coast,29,32,Elementary->Middle,0.092779195097364,171,1206,17,7,0.598467073078637,0.346319051125898,0,1121,0.891954518786892,3,B,PUBLIC,5,8,307,J,0,1,269,268,Middle->Middle,S,1
1421,10,10,CA,17,A,5,6,0,265,2,1,330,East Coast,14,13,Middle->Middle,0.010835113279302,226,1991,7,2,0.600175071201775,0.192014642967721,1,1896,0.945345200098679,1,A,PUBLIC,6,8,1117,Q,1,1,245,246,Middle->Middle,L,1
1423,6,6,MA,24,T,5,6,0,243,2,5,248,East Coast,50,44,PK->Middle,0.067877554131994,210,1045,22,1,0.496413456013495,0.254973049149835,0,938,0.926655685268262,4,0,Catholic,PK,8,629,O,0,1,220,233,Middle->Middle,M-L,1
1424,8,8,CA,30,A,6,7,1,297,1,3,472,East Coast,5,9,Middle->Middle,0.011714472191654,221,2522,4,1,0.674522336777353,0.161542396329544,0,2366,0.689280343680525,3,C,PUBLIC,6,8,582,G,1,2,444,232,Middle->Middle,S-M,0
1425,10,10,OH,12,T,5,5,0,211,4,6,186,East Coast,79,84,Middle->Middle,0.083177950069447,167,721,39,3,0.484874188257747,0.180347755797899,0,734,0.935196423161217,5,B,PUBLIC,6,8,794,N,1,0,0,0,Middle->Middle,L,1
1426,10,10,IL,17,T,5,6,1,255,5,3,449,East Coast,36,47,Middle->Middle,0.072586348090987,204,776,33,6,0.719386050427143,0.446166308697402,0,801,0.931023652086991,3,B,PUBLIC,6,8,593,J,0,0,0,0,Middle->Middle,S-M,1
1427,9,10,NY,15,T,3,4,1,403,2,9,433,East Coast,73,92,High->High,0.043428479827415,300,725,45,2,0.54240100670787,0.280653572676393,0,744,0.874102165577445,11,A,PUBLIC,9,12,1745,P,0,1,194,188,High->High,L,1
1428,10,10,TN,13,T,4,5,1,260,8,11,355,East Coast,73,84,Middle->Middle,0.11542795104244,177,659,45,6,0.616421893948272,0.168145179427601,0,710,0.836060969460466,10,C,PUBLIC,6,8,565,K,1,1,224,207,Middle->Middle,S-M,1
1429,9,9,LA,12,A,4,5,0,247,4,1,246,East Coast,14,14,Middle->Middle,0.018114734961597,189,1815,4,3,0.340651482015372,0.270256975945296,0,1831,0.919218092074584,1,B,PUBLIC,7,8,643,M,0,0,0,0,Middle->Middle,M-L,1
1431,7,7,CA,12,A,4,4,1,224,3,1,408,East Coast,10,10,K->Elementary,0.01549696048629,165,2069,5,3,0.579680220386925,0.104049874307531,0,2110,0.909872846846062,1,B,PUBLIC,K,5,577,M,0,0,0,0,Elementary->Elementary,M-L,1
1432,7,8,NE,13,A,6,6,0,603,31,6,617,East Coast,70,78,Middle->Middle,0.174343300598101,211,1469,56,45,0.941978225488754,0.231649012259557,0,1341,0.884414272010056,5,B,PUBLIC,6,8,410,I,0,1,257,271,Middle->Middle,S-M,0
1435,9,10,IN,17,A,6,6,1,316,3,2,415,Science,10,13,Middle->High,0.01947994237113,198,2073,9,4,0.799976759046301,0.252402854357845,0,2444,0.801450606931859,2,B,PUBLIC,7,12,480,J,0,2,296,289,High->High,S-M,0
1437,5,11,MO,23,A,6,7,0,275,0,1,291,Science,5,6,Middle->Middle,0.004594615715916,191,2028,2,0,0.406121167067082,0.479664196715482,0,2092,0.853347265398468,1,B,PUBLIC,6,8,975,N,1,1,230,219,Middle->High,L,1
1438,8,8,CA,20,A,3,3,1,212,0,5,323,East Coast,31,43,Middle->High,0.091483472295728,125,2134,24,0,0.775457179187988,0.196048165949957,0,2469,0.921810343289435,4,0,Private non-Christian,6,12,383,Q,0,1,155,160,Middle->Middle,S-M,1
1439,6,6,CA,13,A,5,5,1,245,5,2,429,East Coast,17,16,PK->Middle,0.065853057947126,210,2667,8,4,0.51600898240142,0.074948536845666,1,2710,0.840917575604026,2,0,CHD,PK,8,226,P,1,2,360,216,Middle->Middle,S,1
1441,9,9,AL,16,T,5,5,1,216,11,6,437,East Coast,101,97,Middle->High,0.054696498068539,193,813,52,11,0.587239327372739,0.287771214361757,0,911,0.914273452866731,5,A,PUBLIC,7,9,1553,O,0,0,0,0,Middle->Middle,L,1
1442,4,6,TX,11,A,5,6,1,281,3,1,448,East Coast,7,8,Middle->Middle,0.013491123418551,225,1944,6,2,0.871357728033811,0.135165596188226,0,1796,0.904211223607105,1,B,PUBLIC,6,8,543,J,1,2,270,237,Middle->Middle,S-M,1
1443,7,8,WA,16,A,4,5,1,224,1,3,450,East Coast,49,59,K->Middle,0.112714635675283,207,2017,37,0,0.638831545745453,0.287263204660734,0,2313,0.919220959772149,3,0,Catholic,K,8,532,H,0,1,230,228,Middle->Middle,S-M,0
1445,9,9,CO,24,A,4,5,1,251,4,2,421,East Coast,18,20,PK->Middle,0.033188384584832,154,1844,16,4,0.827274488424225,0.275840957365549,0,1891,0.944373903861495,2,B,PUBLIC,PK,8,598,O,0,2,413,223,Middle->Middle,S-M,1
1446,9,9,CA,21,A,3,4,1,216,8,7,434,East Coast,67,81,Middle->Middle,0.046656335614776,175,2517,33,7,0.48053714548331,0.112851391422881,0,2342,0.894194608500901,7,B,PUBLIC,6,8,1372,P,1,1,199,206,Middle->Middle,L,1
1447,5,6,WI,13,T,3,3,0,185,2,3,180,East Coast,37,34,PK->Middle,0.115262266020299,139,795,13,0,0.395359177471571,0.336232243459879,0,770,0.933230604750343,3,0,Catholic,PK,8,289,O,0,1,152,145,Middle->Middle,S,0
1449,9,9,KY,7,A,5,5,1,244,1,1,411,East Coast,22,25,PK->Middle,0.123844539982619,228,1095,12,0,0.458702966011074,0.177425877009123,1,1217,0.927900144365734,1,0,CHD,PK,8,183,I,0,2,262,261,Middle->Middle,S,0
1450,7,9,WA,11,A,3,4,1,213,4,3,347,East Coast,15,20,Middle->Middle,0.015557703515464,165,1929,5,4,0.304985762228146,0.277403800011403,0,2020,0.824537173907545,3,C,PUBLIC,6,8,916,I,1,2,310,195,Middle->Middle,L,0
1451,7,7,CA,28,A,3,4,1,194,14,1,345,East Coast,26,25,Middle->Middle,0.046495683850229,171,2435,15,14,0.604752344428722,0.269660706987183,0,2207,0.995492261155258,1,B,PUBLIC,7,8,527,N,0,1,199,198,Middle->Middle,S-M,1
1452,6,7,IA,13,A,5,6,1,286,7,2,488,East Coast,24,32,PK->High,0.061079263805568,232,1506,20,6,0.78082458209727,0.311180077692757,0,1595,0.921780135186104,2,B,PUBLIC,PK,12,451,J,0,1,261,268,Middle->High,S-M,0
1453,8,9,TX,31,T,6,7,0,297,3,4,306,East Coast,13,21,Middle->Middle,0.020963766109531,231,1615,9,2,0.542219716046149,0.149080154823382,0,1752,0.876743221473749,3,C,PUBLIC,6,8,796,C,1,1,258,256,Middle->Middle,M-L,0
1454,7,9,CT,14,T,4,5,0,213,15,3,220,East Coast,29,39,Elementary->Middle,0.157646907916151,160,701,12,4,0.329127022174928,0.03152826311881,0,658,0.876225495763303,3,D,PUBLIC,5,8,219,F,1,1,185,185,Middle->Middle,S,0
1455,9,9,CA,15,A,6,6,1,273,3,5,449,East Coast,42,41,K->Middle,0.191014122995739,246,2168,0,0,0.0,0.0,1,2254,0.848671155293304,5,0,Private non-Christian,K,8,187,L,0,0,0,0,Middle->Middle,S,1
1458,8,8,ME,5,A,4,4,1,244,3,2,413,East Coast,19,20,Middle->Middle,0.032718954690323,170,999,14,2,0.764626075893247,0.493957012513339,0,844,0.87822595188534,2,B,PUBLIC,6,8,549,M,0,0,0,0,Middle->Middle,M-L,0
1459,10,10,TX,16,A,6,6,1,360,11,4,393,East Coast,36,36,Elementary->Middle,0.038081501513846,209,1566,30,8,0.831069885240796,0.241998042358567,0,1628,0.864292633314725,4,B,PUBLIC,5,8,893,Z,0,1,273,273,Middle->Middle,L,1
1461,8,8,KS,19,A,5,6,0,257,0,1,303,East Coast,14,14,Middle->High,0.017235458433198,218,1439,12,0,0.767827250681972,0.311675720755711,0,1497,0.968745475510358,1,A,PUBLIC,7,9,865,P,1,1,258,269,Middle->Middle,M-L,1
1462,5,7,NC,7,T,3,4,0,107,2,2,113,East Coast,32,34,Middle->Middle,0.076689600089452,52,409,5,1,0.146228764645359,0.0,0,387,0.944661058232362,2,C,PUBLIC,6,8,472,C,1,1,85,69,Middle->High,S-M,0
1463,9,10,CA,18,A,6,6,1,267,4,2,459,East Coast,24,33,K->Middle,0.120696103926481,251,1753,9,4,0.286365397134768,0.186432537660974,0,1497,0.951002319266214,2,C,PUBLIC,K,8,239,D,1,2,378,266,Middle->Middle,S,0
1464,2,2,CA,4,A,4,4,1,251,3,6,373,CA History,74,75,PK->High,0.067205300522253,312,437,0,0,0.0,0.0,1,412,0.871293876975878,8,0,Private non-Christian,PK,12,990,P,1,1,237,237,Elementary->Elementary,L,1
1465,10,10,WI,9,A,6,6,1,304,3,2,446,East Coast,16,20,Middle->Middle,0.029083832715217,239,1378,16,3,0.874931404293077,0.187242039748471,0,1337,0.882430960060878,2,B,PUBLIC,6,8,743,J,1,2,412,270,Middle->Middle,M-L,1
1466,7,7,IN,15,A,3,4,1,396,4,1,419,East Coast,9,12,Middle->Middle,0.007998620610467,134,1520,7,3,0.73343225836536,0.098372541992341,0,1317,0.890147965717257,1,C,PUBLIC,7,8,1229,F,0,1,337,345,Middle->Middle,L,0
1467,8,8,MO,20,T,5,6,0,200,4,2,188,East Coast,32,31,Middle->Middle,0.039069256958712,161,941,17,4,0.52028402405645,0.116109360407963,0,961,0.89237664964061,2,B,PUBLIC,7,8,833,K,1,0,0,0,Middle->Middle,M-L,1
1469,8,9,CA,13,A,4,4,1,226,5,3,428,East Coast,28,33,PK->High,0.111557503099507,181,1985,20,5,0.733576558026655,0.265033483893123,1,2049,0.933845475118177,3,0,CHD,PK,12,264,O,0,1,205,216,Middle->Middle,S,0
1471,4,4,CA,20,A,4,5,1,270,1,4,369,East Coast,49,49,PK->Middle,0.164273187316035,211,1742,28,1,0.585012383207355,0.108010362516265,0,1869,0.883267552598496,4,0,Private non-Christian,PK,6,308,Q,0,1,234,226,Elementary->Elementary,S,1
1472,8,9,CA,16,A,4,4,1,249,1,2,410,East Coast,14,15,K->Middle,0.189834864990963,156,2174,11,0,0.78170346043818,0.348360247301722,0,2019,0.831861684525128,2,0,Private non-Christian,K,8,81,M,0,1,207,201,Middle->Middle,S,0
1474,7,7,KY,14,T,5,6,1,298,18,10,477,East Coast,116,116,Middle->Middle,0.168201261173606,180,565,58,13,0.53312818854465,0.27990897408578,0,584,0.929126348248533,8,A,PUBLIC,6,8,639,P,0,2,293,246,Middle->Middle,M-L,1
1475,10,10,WA,22,A,4,4,1,208,1,1,379,East Coast,14,16,PK->High,0.038033494183841,186,1997,11,1,0.892359583593501,0.174319284225131,1,2105,0.917428727912402,1,0,CHD,PK,12,317,F,1,1,202,199,Middle->Middle,S-M,1
1477,7,7,CA,19,A,4,5,1,210,2,3,404,East Coast,31,30,Middle->Middle,0.024064712606771,199,2416,13,1,0.459512528019484,0.030332582646581,0,2667,0.870194775496569,3,C,PUBLIC,6,8,1188,P,1,2,399,202,Middle->Middle,L,1
