ID_CRM,Poverty_Code,Region,CRM_Segment,School_Type,Parent_Meeting_Flag,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,SPR_New_Existing,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,SchoolSizeIndicator
0948A,0,Other,9,Catholic,1,K,8,310,A,1,1,09/18/2018,09/16/2018,221,223,Middle,Middle,Middle->Middle,S-M
09520,0,Pacific Northwest,7,PUBLIC,1,0,NA,0,0,1,1,09/24/2018,10/02/2018,261,253,Middle,High,Middle->High,
0953M,0,Southern California,5,Catholic,1,PK,8,328,M,0,1,04/21/2018,04/29/2018,373,365,Middle,Middle,Middle->Middle,S
0955O,0,Southern California,5,Private non-Christian,1,K,8,408,O,1,2,05/21/2018,09/09/2018,321,210,Middle,Middle,Middle->Middle,S-M
0956O,0,Northern California,10,CHD,1,K,8,228,O,1,1,10/29/2018,10/27/2018,222,224,Middle,Middle,Middle->Middle,S
0959Q,0,Northern California,5,Private non-Christian,0,6,12,483,Q,0,0,,,,,Middle,Middle,Middle->Middle,S-M
0965Z,0,Other,9,Private non-Christian,1,PK,12,1641,Z,0,1,08/24/2018,08/28/2018,189,185,Middle,Middle,Middle->Middle,L
0970O,0,Northern California,1,Private non-Christian,1,K,8,214,O,0,1,08/09/2018,08/08/2018,239,240,Middle,Middle,Middle->Middle,S
0973J,0,Southern California,10,CHD,1,K,8,154,J,1,1,09/14/2018,09/06/2018,204,212,Middle,Middle,Middle->Middle,S
0981D,0,Houston,5,Private non-Christian,0,K,12,524,D,0,0,,,,,Middle,Middle,Middle->Middle,S-M
0986I,0,Other,5,Catholic,1,7,12,256,I,0,1,09/03/2018,08/24/2018,270,280,Undefined,Undefined,Undefined->Undefined,S
0987L,0,Northern California,10,Catholic,1,K,8,208,L,0,2,03/28/2018,09/22/2018,391,213,Middle,Middle,Middle->Middle,S
A1007Q,A,Northern California,5,PUBLIC,1,6,8,943,Q,0,1,09/07/2018,08/23/2018,211,226,Middle,Middle,Middle->Middle,L
A100N,A,Other,5,PUBLIC,1,6,8,1146,N,0,1,09/22/2018,10/04/2018,220,208,Undefined,Undefined,Undefined->Undefined,L
A1015Q,A,Northern California,5,PUBLIC,0,6,8,945,Q,1,0,,,,,Middle,Middle,Middle->Middle,L
A1041L,A,Other,10,PUBLIC,1,5,8,627,L,1,1,10/01/2018,09/25/2018,176,182,Middle,Middle,Middle->Middle,M-L
A1045O,A,Other,6,PUBLIC,1,9,12,1172,O,0,1,09/13/2018,09/12/2018,283,284,High,High,High->High,L
A1049P,A,Other,5,PUBLIC,1,6,8,791,P,1,2,09/09/2018,12/01/2018,281,198,Middle,Middle,Middle->Middle,L
A104Q,A,Other,6,PUBLIC,1,6,8,823,Q,1,1,09/23/2018,10/06/2018,247,234,Middle,Middle,Middle->Middle,M-L
A1057N,A,Other,6,PUBLIC,1,7,8,1513,N,0,1,10/14/2018,10/04/2018,251,261,Middle,Middle,Middle->Middle,L
A1059Q,A,Other,7,PUBLIC,0,5,7,472,Q,1,0,,,,,Middle,Middle,Middle->Middle,S-M
A105N,A,Other,11,PUBLIC,1,6,8,654,N,0,2,09/07/2018,05/22/2019,266,9,Middle,Middle,Middle->Middle,M-L
A1068P,A,Other,9,PUBLIC,1,5,8,382,P,1,2,08/20/2018,09/29/2018,210,170,Undefined,Undefined,Undefined->Undefined,S-M
A1069N,A,Dallas,11,PUBLIC,1,6,8,941,N,0,2,05/22/2018,09/11/2018,388,276,Middle,Middle,Middle->Middle,L
A1073Q,A,Northern California,5,PUBLIC,1,6,8,796,Q,1,1,10/04/2018,10/05/2018,253,252,Middle,Middle,Middle->Middle,M-L
A1080P,A,Other,5,PUBLIC,1,6,8,440,P,0,1,09/05/2018,09/20/2018,217,202,Middle,Middle,Middle->Middle,S-M
A1100Q,A,Northern California,7,PUBLIC,1,6,8,900,Q,0,1,09/22/2018,09/20/2018,191,193,Middle,Middle,Middle->Middle,L
A1112N,A,Other,11,PUBLIC,1,6,8,744,N,0,1,08/30/2018,08/28/2018,164,166,Middle,Middle,Middle->Middle,M-L
A1120O,A,Other,11,PUBLIC,1,6,8,655,O,0,1,09/11/2018,09/21/2018,274,264,Middle,Middle,Middle->Middle,M-L
A1127L,A,Other,10,PUBLIC,1,5,8,288,L,1,1,09/12/2018,09/05/2018,274,281,Middle,Middle,Middle->Middle,S
A1152Q,A,Other,5,PUBLIC,1,6,8,907,Q,1,1,10/10/2018,10/20/2018,166,156,Undefined,Undefined,Undefined->Undefined,L
A1155Q,A,Pacific Northwest,4,PUBLIC,1,K,6,595,Q,1,1,09/29/2018,09/18/2018,179,190,Elementary,Middle,Elementary->Middle,M-L
A1159Q,A,Northern California,5,PUBLIC,1,6,8,902,Q,0,1,11/17/2018,11/16/2018,147,148,Middle,Middle,Middle->Middle,L
A1166O,A,Other,10,PUBLIC,0,7,12,583,O,0,0,,,,,High,High,High->High,S-M
A116K,A,Pacific Northwest,5,PUBLIC,1,6,8,277,K,0,1,09/19/2018,09/26/2018,190,183,Middle,Middle,Middle->Middle,S
A1174Q,A,Other,5,PUBLIC,1,6,8,440,Q,1,1,09/05/2018,09/09/2018,240,236,Middle,Middle,Middle->Middle,S-M
A1177Q,A,Other,5,PUBLIC,1,6,8,499,Q,0,1,10/07/2018,09/25/2018,232,244,Middle,Middle,Middle->Middle,S-M
A1198Q,A,Other,5,PUBLIC,1,6,8,943,Q,1,1,09/28/2018,09/16/2018,247,259,Middle,Middle,Middle->Middle,L
A1204Q,A,Northern California,5,PUBLIC,1,6,8,1112,Q,1,2,03/11/2018,09/08/2018,457,276,Middle,Middle,Middle->Middle,L
A1208P,A,Other,6,PUBLIC,1,6,8,725,P,1,2,06/09/2018,09/17/2018,307,207,Middle,Middle,Middle->Middle,M-L
A1213O,A,Other,10,PUBLIC,1,6,8,964,O,0,1,09/03/2018,09/04/2018,278,277,Middle,Middle,Middle->Middle,L
A1216P,A,Pacific Northwest,5,PUBLIC,1,7,9,816,P,1,1,10/16/2018,10/04/2018,245,257,Middle,High,Middle->High,M-L
A1231L,A,Other,10,PUBLIC,1,6,8,202,L,1,1,09/26/2018,10/01/2018,261,256,Middle,Middle,Middle->Middle,S
A1235O,A,Pacific Northwest,5,PUBLIC,0,6,8,887,O,1,0,,,,,Middle,High,Middle->High,L
A1239Q,A,Southern California,4,PUBLIC,1,K,5,989,Q,1,2,05/06/2018,10/03/2018,334,184,Elementary,Middle,Elementary->Middle,L
A1243Q,A,Other,5,PUBLIC,0,6,8,745,Q,1,0,,,,,Middle,Middle,Middle->Middle,M-L
A1248O,A,Dallas,10,PUBLIC,0,7,8,1180,O,1,0,,,,,Middle,Middle,Middle->Middle,L
A1251N,A,Northern California,5,PUBLIC,1,7,8,466,N,0,1,09/08/2018,08/20/2018,276,295,Middle,Middle,Middle->Middle,S-M
A1257Q,A,Southern California,4,PUBLIC,0,K,5,512,Q,0,0,,,,,Elementary,Elementary,Elementary->Elementary,S-M
A1278I,A,Other,4,PUBLIC,1,PK,5,557,I,1,1,09/06/2018,09/09/2018,214,211,Middle,Middle,Middle->Middle,S-M
A1307P,A,Other,10,PUBLIC,1,6,8,1155,P,1,1,09/26/2018,09/13/2018,218,231,Middle,Middle,Middle->Middle,L
A1318P,A,Other,10,PUBLIC,1,6,8,979,P,1,1,09/05/2018,09/19/2018,270,256,Middle,Middle,Middle->Middle,L
A1327K,A,Other,5,PUBLIC,1,6,8,281,K,0,1,09/24/2018,09/24/2018,249,249,Middle,Middle,Middle->Middle,S
A132M,A,Other,10,PUBLIC,1,5,8,973,M,1,1,09/04/2018,08/31/2018,285,289,Middle,Middle,Middle->Middle,L
A134P,A,Other,5,PUBLIC,1,7,8,771,P,0,1,08/15/2018,08/13/2018,185,187,Middle,Middle,Middle->Middle,M-L
A1352N,A,Other,6,PUBLIC,1,7,8,1399,N,1,1,10/09/2018,10/19/2018,252,242,Middle,Middle,Middle->Middle,L
A1366Q,A,Other,5,PUBLIC,1,6,8,1385,Q,1,1,09/02/2018,09/05/2018,276,273,Middle,Middle,Middle->Middle,L
A1369Q,A,Pacific Northwest,4,PUBLIC,1,K,6,480,Q,0,1,10/06/2018,10/13/2018,260,253,Undefined,Undefined,Undefined->Undefined,S-M
A1388Q,A,Other,5,PUBLIC,1,6,12,799,Q,0,2,10/10/2018,10/13/2018,174,171,Middle,Middle,Middle->Middle,M-L
A13Q,A,Northern California,7,PUBLIC,1,6,8,985,Q,0,1,09/08/2018,09/22/2018,209,195,Middle,Middle,Middle->Middle,L
A1400Q,A,Other,2,PUBLIC,0,6,8,621,Q,1,0,,,,,Middle,Middle,Middle->Middle,M-L
A1402M,A,Other,6,PUBLIC,1,6,8,777,M,0,1,10/22/2018,10/11/2018,237,248,Middle,Middle,Middle->Middle,M-L
A1410Z,A,Northern California,5,PUBLIC,1,K,8,360,Z,0,1,05/21/2018,05/15/2018,319,325,Elementary,Elementary,Elementary->Elementary,S-M
A1413O,A,Dallas,11,PUBLIC,0,7,8,1290,O,0,0,,,,,Middle,Middle,Middle->Middle,L
A1421Q,A,Northern California,5,PUBLIC,1,6,8,1117,Q,1,1,09/18/2018,09/17/2018,245,246,Middle,Middle,Middle->Middle,L
A1427P,A,Other,9,PUBLIC,1,9,12,1745,P,0,1,09/14/2018,09/20/2018,194,188,High,High,High->High,L
A1440M,A,Other,11,PUBLIC,1,7,8,364,M,0,1,09/07/2019,09/02/2019,-196,-191,Middle,Middle,Middle->Middle,S-M
A1441O,A,Other,9,PUBLIC,0,7,9,1553,O,0,0,,,,,Middle,Middle,Middle->Middle,L
A1461P,A,Other,11,PUBLIC,1,7,9,865,P,1,1,09/15/2018,09/04/2018,258,269,Middle,Middle,Middle->Middle,M-L
A1474P,A,Other,10,PUBLIC,1,6,8,639,P,0,2,07/31/2018,09/16/2018,293,246,Middle,Middle,Middle->Middle,M-L
A1479Q,A,Other,9,PUBLIC,1,6,8,705,Q,0,1,09/04/2018,09/16/2018,202,190,Middle,Middle,Middle->Middle,M-L
A1481O,A,Other,10,PUBLIC,1,6,8,672,O,0,1,09/09/2018,08/29/2018,266,277,Middle,Middle,Middle->Middle,M-L
A1498P,A,Other,8,CHD,0,9,12,0,P,0,0,,,,,Middle,Middle,Middle->Middle,
A1504P,A,Other,11,PUBLIC,1,7,8,1034,P,1,1,08/11/2018,08/09/2018,189,191,Middle,Middle,Middle->Middle,L
A1514P,A,Other,6,PUBLIC,1,9,12,1772,P,1,2,09/16/2018,09/22/2018,156,150,High,High,High->High,L
A1556L,A,Other,11,PUBLIC,1,6,8,894,L,1,1,09/05/2018,08/19/2018,268,285,Middle,Middle,Middle->Middle,L
A1566Q,A,Southern California,4,PUBLIC,1,K,5,875,Q,1,1,10/05/2018,09/22/2018,223,236,Elementary,Elementary,Elementary->Elementary,L
A1569P,A,Pacific Northwest,5,PUBLIC,1,6,8,423,P,1,2,10/05/2018,09/24/2018,264,275,Undefined,Undefined,Undefined->Undefined,S-M
A1573Q,A,Dallas,5,PUBLIC,1,7,8,824,Q,0,1,04/30/2018,04/15/2018,400,415,Middle,Middle,Middle->Middle,M-L
A1580O,A,Other,10,PUBLIC,1,PK,12,357,O,0,1,05/09/2018,05/04/2018,311,316,Middle,Middle,Middle->Middle,S-M
A1582O,A,Other,10,PUBLIC,1,5,8,806,O,1,1,09/28/2018,09/10/2018,254,272,Middle,Middle,Middle->Middle,M-L
A1588Q,A,Other,5,PUBLIC,1,6,8,514,Q,1,1,10/11/2018,10/10/2018,229,230,Undefined,Undefined,Undefined->Undefined,S-M
A1592Q,A,Other,5,PUBLIC,0,5,8,767,Q,0,0,,,,,Middle,Middle,Middle->Middle,M-L
A1602H,A,Other,11,PUBLIC,1,7,12,549,H,0,1,09/05/2018,09/08/2018,245,242,Middle,Middle,Middle->Middle,S-M
A1619P,A,Pacific Northwest,5,PUBLIC,1,7,9,490,P,0,2,03/17/2018,09/06/2018,466,293,Middle,High,Middle->High,S-M
A1622Q,A,Northern California,5,PUBLIC,1,6,8,908,Q,0,1,11/24/2018,11/17/2018,140,147,Middle,Middle,Middle->Middle,L
A1626P,A,Other,8,CHD,0,9,12,0,P,0,0,,,,,Middle,Middle,Middle->Middle,
A1644O,A,Other,5,PUBLIC,1,6,8,719,O,1,1,09/19/2018,09/30/2018,148,137,Middle,Middle,Middle->Middle,M-L
A1650O,A,Northern California,5,PUBLIC,1,K,8,327,O,1,1,09/08/2018,08/29/2018,247,257,Middle,Middle,Middle->Middle,S-M
A1655P,A,Dallas,5,PUBLIC,1,5,6,631,P,0,1,09/24/2018,09/28/2018,250,246,Middle,Middle,Middle->Middle,M-L
A1658P,A,Other,10,PUBLIC,1,6,8,786,P,0,2,07/30/2018,09/01/2018,278,245,Middle,Middle,Middle->Middle,M-L
A1670Q,A,Other,6,PUBLIC,1,6,8,687,Q,0,1,09/22/2018,09/22/2018,217,217,Middle,Middle,Middle->Middle,M-L
A1675P,A,Other,5,PUBLIC,1,6,8,749,P,1,1,09/29/2018,09/15/2018,240,254,Middle,Middle,Middle->Middle,M-L
A167N,A,Other,5,PUBLIC,1,K,8,693,N,1,1,10/04/2018,09/21/2018,245,258,Middle,Middle,Middle->Middle,M-L
A1681O,A,Other,11,PUBLIC,1,6,8,349,O,0,1,10/01/2018,10/14/2018,172,159,Middle,Middle,Middle->Middle,S-M
A1695O,A,Other,5,PUBLIC,1,5,8,713,O,1,1,10/05/2018,09/24/2018,169,180,Middle,High,Middle->High,M-L
A1709N,A,Other,9,PUBLIC,1,6,8,642,N,1,2,08/24/2018,05/12/2019,281,20,Middle,Middle,Middle->Middle,M-L
A171Q,A,Southern California,5,PUBLIC,0,K,8,687,Q,0,0,,,,,Elementary,Elementary,Elementary->Elementary,M-L
A1749P,A,Other,5,PUBLIC,1,6,8,896,P,0,2,05/19/2018,10/03/2018,377,240,Middle,Middle,Middle->Middle,L
A174Q,A,Other,5,PUBLIC,1,6,8,664,Q,0,1,09/11/2018,09/05/2018,235,241,Middle,Middle,Middle->Middle,M-L
A176Q,A,Southern California,6,PUBLIC,1,6,8,1043,Q,1,1,09/21/2018,09/25/2018,267,263,Middle,Middle,Middle->Middle,L
A1774Q,A,Southern California,4,PUBLIC,0,K,5,483,Q,0,0,,,,,Elementary,Elementary,Elementary->Elementary,S-M
A1775N,A,Houston,10,PUBLIC,1,7,8,417,N,1,1,05/21/2018,05/12/2018,292,301,Middle,Middle,Middle->Middle,S-M
A1779P,A,Other,5,PUBLIC,1,6,8,526,P,0,2,04/25/2018,09/18/2018,396,250,Middle,Middle,Middle->Middle,S-M
A1784M,A,Other,11,PUBLIC,1,7,8,739,M,1,1,09/03/2018,09/02/2018,277,278,Middle,Middle,Middle->Middle,M-L
A1791Q,A,Other,5,PUBLIC,1,6,8,890,Q,1,1,10/11/2018,10/12/2018,233,232,Middle,Middle,Middle->Middle,L
A1803N,A,Other,5,PUBLIC,1,6,8,519,N,0,1,09/27/2018,09/23/2018,242,246,Middle,Middle,Middle->Middle,S-M
A1820Q,A,Other,6,PUBLIC,1,7,12,4005,Q,0,1,09/26/2018,09/27/2018,197,196,Middle,Middle,Middle->Middle,L
A1867Q,A,Northern California,4,PUBLIC,1,3,5,441,Q,1,2,05/06/2018,09/05/2018,290,168,Middle,Middle,Middle->Middle,S-M
A1877P,A,Other,6,PUBLIC,1,9,12,1355,P,1,2,05/20/2018,09/20/2018,400,277,High,High,High->High,L
A1888P,A,Pacific Northwest,4,PUBLIC,1,K,5,915,P,0,2,06/12/2018,10/09/2018,372,253,Elementary,Elementary,Elementary->Elementary,L
A1891Q,A,Southern California,5,PUBLIC,0,K,8,750,Q,1,0,,,,,Elementary,Elementary,Elementary->Elementary,M-L
A1895O,A,Other,9,PUBLIC,1,PK,12,388,O,1,1,04/24/2018,04/25/2018,324,323,Middle,Middle,Middle->Middle,S-M
A18O,A,Other,6,PUBLIC,1,9,12,1385,O,1,2,02/15/2018,10/04/2018,496,265,High,High,High->High,L
A1907Q,A,Northern California,5,PUBLIC,1,6,8,940,Q,0,1,09/16/2018,09/17/2018,201,200,Middle,Middle,Middle->Middle,L
A1920Q,A,Other,5,PUBLIC,1,5,8,505,Q,1,2,10/15/2018,10/31/2018,224,208,Middle,Middle,Middle->Middle,S-M
A1928N,A,Dallas,10,PUBLIC,1,K,8,411,N,1,1,09/21/2018,09/17/2018,254,258,Middle,Middle,Middle->Middle,S-M
A1959Q,A,Northern California,5,PUBLIC,0,7,8,416,Q,0,0,,,,,Undefined,Undefined,Undefined->Undefined,S-M
A1972O,A,Other,10,PUBLIC,1,7,8,398,O,0,1,10/06/2018,10/15/2018,250,241,Middle,Middle,Middle->Middle,S-M
A1975P,A,Other,5,PUBLIC,1,6,8,774,P,0,1,09/16/2018,09/16/2018,205,205,Middle,Middle,Middle->Middle,M-L
A2016P,A,Northern California,5,PUBLIC,1,6,8,1169,P,1,1,09/04/2018,08/27/2018,195,203,Undefined,Undefined,Undefined->Undefined,L
A2042P,A,Other,6,PUBLIC,1,6,8,760,P,1,1,10/03/2018,09/22/2018,265,276,Middle,Middle,Middle->Middle,M-L
A204Q,A,Northern California,5,PUBLIC,1,6,8,731,Q,1,1,10/06/2018,10/07/2018,245,244,Middle,Middle,Middle->Middle,M-L
A2063O,A,Northern California,5,PUBLIC,1,6,8,550,O,0,1,09/28/2018,09/26/2018,191,193,Middle,Middle,Middle->Middle,M-L
A2069L,A,Other,10,PUBLIC,1,6,8,874,L,0,1,09/09/2018,08/29/2018,266,277,Middle,Middle,Middle->Middle,L
A2071P,A,Pacific Northwest,5,PUBLIC,1,7,9,776,P,1,1,10/14/2018,10/02/2018,245,257,Middle,High,Middle->High,M-L
A2083Q,A,Northern California,5,PUBLIC,1,6,8,1107,Q,1,1,09/06/2018,09/06/2018,205,205,Middle,Middle,Middle->Middle,L
A2100Q,A,Other,5,PUBLIC,1,6,8,439,Q,0,1,09/04/2018,09/08/2018,240,236,Middle,Middle,Middle->Middle,S-M
A2104J,A,Houston,10,PUBLIC,1,PK,8,162,J,0,2,05/08/2018,10/12/2018,398,241,Middle,Middle,Middle->Middle,S
A2113Z,A,Northern California,5,PUBLIC,1,4,8,643,Z,0,1,10/10/2018,10/16/2018,247,241,Undefined,Undefined,Undefined->Undefined,M-L
A2115O,A,Other,6,PUBLIC,1,6,7,521,O,0,1,10/06/2018,10/02/2018,146,150,Middle,Undefined,Middle->Undefined,S-M
A2117Q,A,Other,5,PUBLIC,1,7,8,283,Q,1,1,09/22/2018,09/07/2018,228,243,Middle,Middle,Middle->Middle,S
A2136O,A,Other,10,PUBLIC,1,6,8,361,O,1,1,10/11/2018,10/01/2018,165,175,Middle,Middle,Middle->Middle,S-M
A2140Q,A,Other,5,PUBLIC,1,6,8,705,Q,0,2,08/26/2018,09/11/2018,266,250,Undefined,Undefined,Undefined->Undefined,M-L
A2141Q,A,Northern California,5,PUBLIC,0,6,8,1231,Q,0,0,,,,,Middle,Middle,Middle->Middle,L
A2145P,A,Houston,5,PUBLIC,1,6,8,940,P,1,1,09/21/2018,09/20/2018,167,168,Middle,Middle,Middle->Middle,L
A2157N,A,Other,11,PUBLIC,1,6,8,733,N,0,2,03/02/2018,08/24/2018,459,284,Middle,Middle,Middle->Middle,M-L
A2164Q,A,Northern California,5,PUBLIC,1,6,8,626,Q,1,1,10/02/2018,10/01/2018,251,252,Middle,Middle,Middle->Middle,M-L
A2168Q,A,Other,6,PUBLIC,1,6,8,494,Q,1,1,11/01/2018,10/19/2018,160,173,Middle,Middle,Middle->Middle,S-M
A2172O,A,Other,10,PUBLIC,1,6,8,571,O,0,1,08/29/2018,09/04/2018,284,278,Middle,Middle,Middle->Middle,S-M
A2175P,A,Northern California,5,PUBLIC,1,5,8,493,P,0,2,05/26/2018,09/09/2018,317,211,Middle,Middle,Middle->Middle,S-M
A218Q,A,Southern California,4,PUBLIC,0,PK,5,546,Q,0,0,,,,,Elementary,Elementary,Elementary->Elementary,S-M
A2195J,A,Other,10,PUBLIC,1,5,8,409,J,1,1,09/03/2018,09/09/2018,273,267,Middle,Middle,Middle->Middle,S-M
A219Q,A,Southern California,5,PUBLIC,0,K,8,764,Q,0,0,,,,,Elementary,Elementary,Elementary->Elementary,M-L
A2206O,A,Other,6,PUBLIC,1,9,12,1380,O,1,2,02/13/2018,10/05/2018,488,254,High,High,High->High,L
A2209Q,A,Pacific Northwest,5,PUBLIC,1,6,8,907,Q,0,1,10/01/2018,10/11/2018,260,250,Middle,Middle,Middle->Middle,L
A2226O,A,Other,9,PUBLIC,1,5,8,358,O,0,1,09/21/2018,09/23/2018,269,267,Middle,Middle,Middle->Middle,S-M
A2228Q,A,Southern California,4,PUBLIC,0,K,5,565,Q,0,0,,,,,Elementary,Elementary,Elementary->Elementary,S-M
A2232Q,A,Other,5,PUBLIC,1,7,8,679,Q,0,1,09/30/2018,10/11/2018,218,207,Middle,Middle,Middle->Middle,M-L
A2242M,A,Other,10,PUBLIC,1,7,8,367,M,0,1,09/20/2019,09/19/2019,-209,-208,Middle,Middle,Middle->Middle,S-M
A2251Q,A,Northern California,5,PUBLIC,1,K,8,241,Q,0,2,05/03/2018,09/12/2018,316,184,Middle,Middle,Middle->Middle,S
A2277P,A,Other,10,PUBLIC,1,6,8,986,P,1,1,09/16/2018,09/17/2018,260,259,Middle,Middle,Middle->Middle,L
A2305P,A,Other,5,PUBLIC,0,6,8,1017,P,1,0,,,,,Middle,Middle,Middle->Middle,L
A2308Q,A,Northern California,4,PUBLIC,0,K,5,436,Q,1,0,,,,,Elementary,Elementary,Elementary->Elementary,S-M
A2319Q,A,Northern California,5,PUBLIC,0,6,8,935,Q,0,0,,,,,Middle,Middle,Middle->Middle,L
A2323Q,A,Northern California,5,PUBLIC,0,6,8,656,Q,0,0,,,,,Middle,Middle,Middle->Middle,M-L
A2328M,A,Other,9,PUBLIC,1,5,8,954,M,1,1,09/17/2018,09/01/2018,268,284,Middle,Middle,Middle->Middle,L
A2348N,A,Houston,10,PUBLIC,0,6,8,1112,N,0,0,,,,,Middle,Middle,Middle->Middle,L
A2354Q,A,Southern California,4,PUBLIC,1,K,5,998,Q,1,1,10/09/2018,10/25/2018,164,148,Elementary,Elementary,Elementary->Elementary,L
A2364Q,A,Other,5,PUBLIC,1,6,8,710,Q,1,1,10/02/2018,10/10/2018,190,182,Middle,Middle,Middle->Middle,M-L
A2373N,A,Other,8,PUBLIC,1,9,12,490,N,0,2,03/26/2018,10/18/2018,357,151,High,High,High->High,S-M
A2383O,A,Other,11,PUBLIC,1,5,8,336,O,0,1,09/18/2018,10/04/2018,272,256,Middle,Middle,Middle->Middle,S-M
A2385P,A,Other,5,PUBLIC,1,6,8,489,P,1,2,05/21/2018,09/21/2018,362,239,Middle,Middle,Middle->Middle,S-M
A2387P,A,Other,5,PUBLIC,1,7,8,804,P,0,2,09/22/2018,10/04/2018,249,237,Middle,Middle,Middle->Middle,L
A2395O,A,Other,10,PUBLIC,1,6,8,574,O,0,2,09/22/2018,11/09/2018,263,215,Middle,Undefined,Middle->Undefined,M-L
A2396O,A,Other,10,PUBLIC,0,7,9,1421,O,0,0,,,,,Middle,Middle,Middle->Middle,L
A2417P,A,Northern California,5,PUBLIC,1,6,8,570,P,0,1,09/06/2018,09/16/2018,220,210,Middle,Middle,Middle->Middle,M-L
A2423J,A,Houston,9,PUBLIC,1,PK,8,184,J,1,2,04/23/2018,10/27/2018,411,224,Middle,Middle,Middle->Middle,S
A2427L,A,Other,9,PUBLIC,1,5,8,683,L,1,1,09/23/2018,09/17/2018,189,195,Middle,Middle,Middle->Middle,M-L
A2456P,A,Dallas,5,PUBLIC,1,7,8,739,P,1,1,09/21/2018,09/15/2018,253,259,Middle,Middle,Middle->Middle,M-L
A2482O,A,Other,10,PUBLIC,1,7,8,807,O,1,1,09/16/2018,09/28/2018,267,255,Middle,Middle,Middle->Middle,M-L
A2484P,A,Other,6,PUBLIC,1,6,8,1123,P,1,2,05/10/2018,09/13/2018,315,189,Middle,Middle,Middle->Middle,L
A2489N,A,Other,5,PUBLIC,1,6,8,1031,N,1,1,09/12/2018,09/10/2018,244,246,Undefined,Undefined,Undefined->Undefined,L
A2530O,A,Other,9,PUBLIC,1,7,8,853,O,0,1,09/25/2018,09/15/2018,261,271,Middle,Middle,Middle->Middle,M-L
A2566O,A,Other,6,PUBLIC,1,6,8,875,O,1,1,09/10/2018,08/30/2018,288,299,Middle,Middle,Middle->Middle,M-L
A2591O,A,Other,5,PUBLIC,1,6,8,1061,O,0,1,09/26/2018,10/05/2018,250,241,Undefined,Undefined,Undefined->Undefined,L
A2605O,A,Other,10,PUBLIC,1,5,8,1072,O,1,2,04/26/2018,09/30/2018,407,250,Middle,Middle,Middle->Middle,L
A2608P,A,Other,10,PUBLIC,1,7,8,1017,P,0,1,08/07/2018,08/18/2018,196,185,Middle,Middle,Middle->Middle,L
A2614O,A,Other,6,PUBLIC,1,6,8,796,O,1,1,09/15/2018,09/14/2018,275,276,Middle,Middle,Middle->Middle,M-L
A2643O,A,Other,10,PUBLIC,1,6,8,519,O,1,1,09/02/2018,09/06/2018,287,283,Middle,Middle,Middle->Middle,S-M
A266Q,A,Other,9,PUBLIC,0,6,8,623,Q,1,0,,,,,Middle,Middle,Middle->Middle,M-L
A2672M,A,Other,4,PUBLIC,1,3,6,251,M,0,1,09/28/2018,09/20/2018,144,152,Middle,Middle,Middle->Middle,S
A268E,A,Houston,4,PUBLIC,1,K,6,174,E,1,2,09/05/2018,10/06/2018,189,158,Middle,Middle,Middle->Middle,S
A2698P,A,Dallas,5,PUBLIC,1,7,8,633,P,1,1,09/15/2018,09/10/2018,266,271,Middle,Middle,Middle->Middle,M-L
A2755Q,A,Dallas,8,PUBLIC,1,9,12,2875,Q,0,1,10/04/2018,10/05/2018,256,255,High,High,High->High,L
A2759P,A,Southern California,4,PUBLIC,0,PK,5,625,P,0,0,,,,,Elementary,Elementary,Elementary->Elementary,M-L
A2774P,A,Other,6,PUBLIC,1,6,8,808,P,0,1,09/30/2018,10/04/2018,267,263,Middle,Middle,Middle->Middle,M-L
A2775P,A,Pacific Northwest,4,PUBLIC,1,K,5,917,P,0,2,06/04/2018,10/05/2018,377,254,Elementary,Elementary,Elementary->Elementary,L
A2788P,A,Pacific Northwest,5,PUBLIC,1,6,8,963,P,0,1,10/16/2018,10/19/2018,243,240,Undefined,Undefined,Undefined->Undefined,L
A2789O,A,Other,11,PUBLIC,1,7,8,339,O,1,1,10/16/2018,10/21/2018,241,236,Middle,Middle,Middle->Middle,S
A2802O,A,Other,10,PUBLIC,1,5,8,398,O,1,2,05/09/2018,09/24/2018,375,237,Middle,Middle,Middle->Middle,S-M
A2805N,A,Other,5,PUBLIC,1,6,8,1205,N,0,1,10/06/2018,09/20/2018,207,223,Undefined,Undefined,Undefined->Undefined,L
A2828M,A,Other,7,PUBLIC,1,5,8,427,M,0,1,11/11/2018,11/19/2018,217,209,Elementary,Middle,Elementary->Middle,S-M
A2838P,A,Other,6,PUBLIC,1,6,8,690,P,1,2,06/07/2018,09/25/2018,317,207,Middle,Middle,Middle->Middle,M-L
A2841O,A,Other,5,PUBLIC,1,7,8,742,O,0,1,09/07/2018,09/06/2018,217,218,Middle,Middle,Middle->Middle,M-L
A2842O,A,Other,10,PUBLIC,0,7,12,558,O,0,0,,,,,High,High,High->High,S-M
A2852P,A,Other,5,PUBLIC,0,6,8,986,P,1,0,,,,,Middle,Middle,Middle->Middle,L
A2855P,A,Other,7,PUBLIC,1,9,12,1807,P,0,2,09/14/2018,09/28/2018,156,142,High,High,High->High,L
